wvs	L_nont_mars	L_nont_moon	L_nont_europa	iof_mix_mars	iof_nont_moon	iof_nont_europa
0.42449999	23.767786	35.65168	6.8560925	0.063385998	0.063385998	0.063385999
0.42550001	22.852913	34.279369	6.5921865	0.063534997	0.063534999	0.063534993
0.42649999	22.947411	34.421116	6.6194458	0.063684998	0.063684998	0.063685
0.42750001	21.253998	31.880997	6.1309609	0.063834998	0.063834996	0.063834996
0.4285	21.548346	32.322517	6.2158689	0.063984996	0.063984994	0.063984995
0.42950001	20.074556	30.111835	5.7907381	0.064135	0.064134998	0.064135002
0.4305	15.489592	23.234388	4.4681516	0.064310997	0.064311001	0.064310996
0.43149999	23.08148	34.622219	6.6581192	0.064512998	0.064512994	0.064512998
0.4325	22.604435	33.906651	6.5205102	0.064714999	0.064714999	0.064715
0.43349999	23.845934	35.768902	6.8786349	0.064916997	0.064916999	0.064917
0.43450001	23.077196	34.615795	6.6568837	0.065118996	0.065118998	0.065118997
0.4355	23.887465	35.8312	6.890615	0.065331998	0.065331998	0.065331995
0.43650001	26.835121	40.252682	7.7409005	0.065556005	0.065556002	0.065556003
0.4375	25.20986	37.814793	7.2720757	0.065779995	0.065780002	0.065779996
0.43849999	21.948156	32.922237	6.3311992	0.066003992	0.066003998	0.066003989
0.4395	25.648582	38.472874	7.3986297	0.066228002	0.066228	0.066227997
0.44049999	24.145779	36.21867	6.9651289	0.066423994	0.066423998	0.066423995
0.44150001	27.287464	40.931194	7.8713841	0.066591995	0.066591995	0.066592001
0.4425	28.050488	42.075729	8.0914869	0.066760006	0.066760005	0.066760004
0.44350001	27.11269	40.669037	7.8209686	0.066927999	0.066927999	0.066928
0.4445	28.091995	42.137993	8.1034603	0.067096002	0.067096002	0.067096002
0.44549999	26.059559	39.08934	7.5171809	0.067437002	0.067437007	0.067437005
0.4465	27.267559	40.90134	7.865643	0.067951004	0.06795101	0.06795101
0.44749999	30.176159	45.26424	8.7046623	0.068465003	0.068464999	0.068465003
0.44850001	28.880381	43.320572	8.3308792	0.068979012	0.068979014	0.068979012
0.44949999	29.891912	44.837868	8.6226673	0.069493004	0.069493005	0.069493005
0.45050001	31.938515	47.907768	9.2130327	0.070199025	0.070199021	0.070199016
0.4515	31.819014	47.728519	9.1785622	0.071096998	0.071096997	0.071096998
0.45249999	29.65423	44.481346	8.5541058	0.071994989	0.071994989	0.07199499
0.4535	30.4727	45.709049	8.7902021	0.072893001	0.072893006	0.072893004
0.45449999	30.989029	46.48354	8.9391432	0.073790984	0.073790981	0.073790987
